Dataset,Year
Y A H O P R T,2023
Y A F I L M R,2023
Y A E I M N T,2023
Y A E H N P T,2023
Y A E G L N O,2023
Y A C D E I N,2023
Y A B G I N R,2023
Y A B E L O V,2023
Y A B C I L M,2023
W D E H N O Y,2023
W C D E K L O,2023
W B D E F L O,2023
W A G I N P R,2023
W A D E L N O,2023
W A C G I L N,2023
V E I L N O T,2023
V E G I L N U,2023
V D E L N O U,2023
V D E L N O P,2023
V D E F I N T,2023
V A E G I N W,2023
V A D E I N T,2023
V A C E N O T,2023
V A C E I N T,2023
U C E H L N O,2023
U C D E I L N,2023
U A E L N T X,2023
U A D L M O R,2023
U A D E L N Q,2023
U A C L O R T,2023
U A C K L N O,2023
U A B E L M T,2023
U A B D I L Y,2023
T G I N O P V,2023
T G I L N P Y,2023
T G H O R U W,2023
T G H I L N R,2023
T D G H I N O,2023
T D E I M P U,2023
T D E F G I Y,2023
T C I L N O U,2023
T C H M N O U,2023
T C E I N V Z,2023
T C D E I U V,2023
T B H I L N O,2023
T A M N O U Y,2023
T A K L O U W,2023
T A I M R U Y,2023
T A G I R V Y,2023
T A D I N O P,2023
T A D E F I X,2023
T A C N O P U,2023
T A C I L M N,2023
T A C H M P U,2023
T A B N O U Y,2023
T A B C E J L,2023
R A H N O T W,2023
R A G H L M O,2023
R A D M O P U,2023
R A D I L P Y,2023
R A D G N O U,2023
R A D F P T U,2023
R A C J L O U,2023
R A C I N O Z,2023
R A C H I M T,2023
R A C D L O T,2023
R A C D H I N,2023
R A B I N T V,2023
R A B D I J L,2023
Q E G I N T U,2023
P G H I N O W,2023
P E L N O T U,2023
P E G I N U X,2023
P D E I T U Z,2023
P D E G I N X,2023
P C E N O T Y,2023
P C E M N O T,2023
P C D E M O T,2023
P C D E H I U,2023
P B E L O T Y,2023
P A G I K L N,2023
P A E M N T Y,2023
P A E I M N T,2023
P A E H L U V,2023
P A D H O R T,2023
P A D E I N X,2023
P A D E H I N,2023
P A B E L N O,2023
P A B E I T Z,2023
O G H L M T Y,2023
O E H I N P X,2023
O E G H N T U,2023
O D I M R T Y,2023
O D G I N X Z,2023
O D E N P U X,2023
O D E F T U X,2023
O C H L P R Y,2023
O C G I L R W,2023
O C G I J N U,2023
O B E H N U Y,2023
O B C E K P T,2023
O A G H P R T,2023
O A F L R U V,2023
O A F H K R Y,2023
O A E H N P T,2023
O A E F L M T,2023
O A E F G L P,2023
O A D E G P Y,2023
O A C I M N P,2023
O A C I K L T,2023
O A C F M T U,2023
O A C D I M T,2023
O A B E K L N,2023
O A B C J K T,2023
N G I L M U Z,2023
N F I O R T U,2023
N E G H I W Z,2023
N E F I M T Y,2023
N E F I L O X,2023
N D E L P T Y,2023
N C E I M T X,2023
N C E I L O X,2023
N C E H T U Y,2023
N C E F I T U,2023
N C D E O V Y,2023
N C D E H L U,2023
N B H I O R T,2023
N B E F I L O,2023
N A I L P T Y,2023
N A I J O R T,2023
N A I J M R U,2023
N A G H M O Y,2023
N A F I M R Y,2023
N A E H M O P,2023
N A D O R T U,2023
N A D L R U Y,2023
N A D I O R Y,2023
N A D I L U V,2023
N A D H O T U,2023
N A D E L Y Z,2023
N A B L O T Y,2023
N A B L M O R,2023
N A B I O R W,2023
N A B I L T Y,2023
N A B E I L V,2023
M H I L N O T,2023
M E K N P T U,2023
M E I N O T Z,2023
M E I L N P T,2023
M E H N O T W,2023
M E F I L O T,2023
M D E N O T U,2023
M D E I L N W,2023
M D E H O T U,2023
M C D E I L O,2023
M A I N R T V,2023
M A G I N R T,2023
M A E L N T Y,2023
M A E G I N Z,2023
M A D E I L V,2023
M A C I O T X,2023
